tempo= 113
0.0 7
0.5 7
1.0 7
1.25 6
1.75 7
2.25 92
2.75 7
3.25 $
3.5 6
4.0 7
4.5 7
5.0 7
5.25 6
5.75 7
6.25 q4
6.75 30
7.25 92
7.5 6
8.0 7
8.5 7
9.0 7
9.25 6
9.75 7
10.25 92
10.75 7
11.25 $
11.5 6
12.0 7
12.5 7
13.0 7
13.25 6
13.5 7
13.75 92
14.25 q4
14.75 30
15.25 92
15.5 6
16.0 r7
16.5 r7
17.0 r7
17.25 e6
17.75 r7
18.25 y92
18.75 r7
19.25 Q$
19.5 e6
20.0 r7
20.5 r7
21.0 r7
21.25 e6
21.75 r7
22.25 qi4
22.75 u30
23.25 y92
23.5 e6
24.0 r7
24.5 r7
25.0 r7
25.25 e6
25.75 r7
26.25 y92
26.75 r7
27.25 Q$
27.5 e6
28.0 r7
28.5 r7
28.75 e6
29.0 r7
29.5 e6
29.75 r7
32.0 ra7
32.5 ra7
33.0 ra7
33.25 pe6
33.75 ra7
34.25 yd92
34.75 ra7
35.25 QI$
35.5 pe6
36.0 ra7
36.5 ra7
37.0 ra7
37.25 pe6
37.75 ra7
38.25 qig4
38.75 uf30
39.25 yd92
39.5 pe6
40.0 ra7
40.5 ra7
41.0 ra7
41.25 pe6
41.75 ra7
42.25 yd92
42.75 ra7
43.25 QI$
43.5 pe6
44.0 ra7
44.5 ra7
45.0 ra7
45.25 pe6
45.5 ra7
45.75 yd92
46.25 qig4
46.75 uf30
47.25 yd92
47.5 pe6
48.0 ra7
48.5 ra7
49.0 ra7
49.25 pe6
49.75 ra7
50.25 yd92
50.75 ra7
51.25 QI$
51.5 pe6
52.0 ra7
52.5 ra7
53.0 ra7
53.25 pe6
53.75 ra7
54.25 qig4
54.75 uf30
55.25 yd92
55.5 pe6
56.0 ra7
56.5 ra7
57.0 ra7
57.25 pe6
57.75 ra7
58.25 yd92
58.75 ra7
59.25 QI$
59.5 pe6
60.0 ra7
60.5 ra7
61.0 ra7
61.5 pe6
61.75 ra7
62.0 rka
63.0 rka
63.25 r
63.5 y
63.75 u
64.0 I7
64.5 92
65.0 30
65.25 q4
65.75 Q$
66.25 e6
66.5 r
66.75 Q$
67.0 y
67.25 e6
67.5 p^E
68.0 rO7
68.5 ^E
69.0 e6
69.25 Q$
69.75 30
70.25 92
70.5 I%
71.0 6
71.5 u^
72.0 I7
72.5 92
73.0 30
73.25 q4
73.75 Q$
74.25 e6
74.75 Q$
75.25 e6
75.5 ^E
76.0 r7
76.5 e6
76.75 r7
77.0 e6
77.5 ^E
77.75 r7
78.25 %
78.75 %
79.0 6
79.25 r6
79.5 y^
79.75 u
80.0 I7
80.5 92
81.0 30
81.25 q4
81.75 Q$
82.25 e6
82.5 r
82.75 Q$
83.0 y
83.25 e6
83.5 p^E
84.0 rO7
84.5 ^E
85.0 e6
85.25 Q$
85.5 p
85.75 30
86.25 92
86.5 %
87.0 a6
87.5 ^
88.0 I7
88.25 O
88.5 92
88.75 I
89.0 30
89.25 q4
89.75 Q$
90.25 e6
90.75 Q$
91.25 e6
91.5 ^E
92.0 r7
92.5 e6
92.75 r7
93.0 e6
93.5 ^E
93.75 r7
94.25 %
94.75 %
95.0 6
95.25 r76
95.5 y^9
95.75 u0
96.0 QI7
96.5 92
97.0 30
97.25 q4
97.75 Q$
98.25 e6
98.5 r
98.75 Q$
99.0 y
99.25 e6
99.5 p^E
100.0 yrWO7
100.5 ^E
101.0 e6
101.25 Q$
101.5 ur
101.75 30
102.25 92
102.5 TQI%
103.0 6
103.25 e0
103.5 u^
104.0 rQI7
104.5 92
105.0 30
105.25 q4
105.75 Q$
106.25 e6
106.75 Q$
107.25 e6
107.5 ^E
108.0 r7
108.5 e6
108.75 r7
109.0 e6
109.5 ^E
109.75 r7
110.25 %
110.75 %
